Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF
1,Superior occipital sulcus inferior LH,DorsAttnB,DorsAttnA,0.5758802040485189,0.34692916066820156,0.07703061546840383
2,Superior occipital gyrus ,VisCent,VisCent,0.47250653631963907,0.49557026343848376,0.031931908059592305
3,"Anterior insula, ventral",SalVentAttnA,SalVentAttnA,0.7207331580383552,0.054171998907318955,0.22507042425705343
4,Middle frontal gyrus middle RH,ContA,SalVentAttnB,0.6434187304565135,0.24551579548642935,0.06801426970425085
5,Calcarine cortex posterior LH,VisCent,VisCent,0.5538556575574842,0.4148150545293903,0.031008928025194973
6,Lateral fissure posterior ramus RH,SalVentAttnA,SalVentAttnA,0.45217311784369907,0.5113836365034635,0.036402382058777064
7,Superior occipital gyrus superior LH,DorsAttnB,DorsAttnA,0.3062308621714665,0.6486223367645,0.0446620285725761
8,Angular gyrus inferior LH,SalVentAttnA,TempPar,0.727386806558866,0.19975403361802097,0.07250445198459884
9,"Calcarine sulcus anterior, LH",VisCent,VisPeri,0.6228138281221784,0.32525665531507825,0.0519444177918886
10,"Frontal pole lateral, RH",ContA,ContB,0.6611483978376821,0.19442102323966087,0.09568705343699058
11,Midbrain superior,No network found,No network found,0.6710355610024071,0.15996834938282736,0.16620008376849538
12,Occipitotemporal gyrus mid-posterior RH,VisCent,DorsAttnA,0.7220656974543019,0.23696835729776733,0.04088657323677369
13,Posterior insula dorsal medial,SomMotA,SomMotB,0.6686498380993302,0.30766869306566097,0.02368497480495321
14,Cerebellum VI RH,No network found,No network found,0.596015348118724,0.3966820325290908,0.007307209096943721
15,Fusiform gyrus anterior LH,VisCent,DorsAttnA,0.8307498391822032,0.05946189648555534,0.10978696932183192
16,Cerebellum Crus I anterior RH,No network found,No network found,0.5973770796055544,0.3701139794774943,0.030346592234981377
17,Supramarginal gyrus antero-superior LH,DorsAttnB,DorsAttnB,0.494749561135553,0.45788549674977397,0.04546035904357114
18,Angular sulcus superior LH,DefaultB,DefaultB,0.5599492019827016,0.39108250974569936,0.04027258481625149
19,Paracingulate sulcus LH,ContA,SalVentAttnB,0.4562369201353489,0.5206516824423756,0.023111699089560456
20,Superior frontal gyrus superior,SalVentAttnA,SomMotA,0.5923324963174025,0.28352263778243136,0.10339944835691542
21,Pars triangularis LH,DefaultB,DefaultB,0.6558620370321232,0.07753695035357029,0.13929599802320838
22,Superior longitudinal fasciculus II LH,No network found,No network found,0.03208344817661243,0.9671998381918642,0.0007152013959049662
23,Superior corona radiata anterior,No network found,No network found,0.019588900026957567,0.9797453847603582,0.0006863187698662306
24,Dorsomedial prefrontal cortex anterocaudal LH,DefaultB,DefaultB,0.6400482732084788,0.2296806416425442,0.10565543652758139
25,Superior longitudinal fasciculus III anterior LH,No network found,No network found,0.04209604129005902,0.9578433692954584,4.960424992787492e-05
26,Cuneus antero-inferior,VisCent,VisPeri,0.6118543986374017,0.28817232898437245,0.09998246719291978
27,Anterior vertical ramus of the lateral fissure LH,DefaultB,DefaultB,0.6634906197030487,0.26166167592534395,0.07377857946975562
28,Corpus callosum isthmus anterior,No network found,No network found,0.19387268865716456,0.4214646247963687,0.384676340635809
29,Posterior limb of the internal capsule RH,No network found,No network found,0.24786855556780485,0.7499996986678524,0.0021280163931174795
30,Cingulate gyrus middle inferior,ContA,ContC,0.6130050956998193,0.29075291031989065,0.09623972549837348
31,Caudate RH,No network found,No network found,0.5787961656163334,0.4095845031470032,0.01163334954291819
32,Superior frontal sulcus anterior RH,ContA,ContB,0.4687797035068338,0.49642692255988374,0.03359863026476854
33,Pars orbitalis RH,DefaultB,DefaultB,0.6557643977289237,0.27506585419596297,0.05382515984690492
34,Cerebellum VIIb,No network found,No network found,0.7818354848174778,0.11430757576314463,0.09883657823680773
