Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF
1,Superior frontal sulcus,DefaultB,DefaultA,0.6899956156495173,0.18570919448320866,0.11688445498918655
2,Fusiform gyrus,No network found,No network found,0.8447325231765037,0.02102643141862085,0.13378859201455914
3,Calcarine cortex posterior,VisCent,VisPeri,0.601767818274053,0.3020671197728652,0.0912973216275698
4,Posterior Cingulate cortex,DefaultB,DefaultA,0.7400859593248862,0.14036828520239494,0.1195668910655905
5,Dorsal Parieto-occipital sulcus,ContA,ContC,0.6401569112237818,0.2414921597679687,0.11782554915712587
6,Antero-superior insula,SalVentAttnA,SalVentAttnB,0.786372865071193,0.06417080012874092,0.14549075149397567
7,Superior temporal sulcus with angular gyrus,DefaultB,TempPar,0.7289689261090406,0.19352618334003086,0.0760887281183381
8,Planum temporale,SomMotA,SomMotB,0.6698659209540166,0.1910266837459853,0.13332598308951646
9,Cerebellum Crus II,No network found,No network found,0.8185904861148258,0.1338739033486082,0.04542831413786549
10,Superior parts of Postcentral and Precentral gyri,SomMotA,DorsAttnB,0.3708748845575369,0.06203569095447033,0.1800623844186744
11,Transverse sinus,No network found,No network found,0.7683739104554709,0.023967151704877586,0.18954300759709386
12,Paracentral gyrus RH,SomMotA,SomMotA,0.5306374774591351,0.3479044488382695,0.1176783513756604
13,Superior occipital gyrus,VisCent,VisPeri,0.5586152516127496,0.28697033183706605,0.11869489252408445
14,Mid-posterior cingulate gyrus,DefaultB,ContC,0.7452027221344231,0.11458104451974745,0.1401896263361808
15,ventricles,No network found,No network found,0.5967024501902108,0.2403387753233659,0.16296436839860015
16,Posterior fusiform gyrus,VisCent,VisCent,0.7626315127910275,0.1665671393414221,0.06815565457970252
17,Superior frontal gyrus medial,SalVentAttnA,SalVentAttnA,0.6587145979633471,0.07825500493180974,0.25475311800672945
18,Precuneus superior,DorsAttnB,ContC,0.5608419562056097,0.05959337009837265,0.2562661761850908
19,Planum polare,SalVentAttnA,SomMotB,0.7553942181635669,0.0331071169214432,0.2060875317942941
20,Central Parieto-occipital sulcus,VisCent,VisPeri,0.590863624165701,0.2897505050215277,0.11865591921166073
21,Cerebellum I-V,No network found,No network found,0.7930338315508172,0.18133515241841824,0.02562201265613615
22,Superior fornix and isthmus,No network found,DefaultC,0.395778158074814,0.05192834296459222,0.552281473643165
23,Anterior Cingulate Cortex,DefaultB,SalVentAttnB,0.7826330767531011,0.07566979891167905,0.14171656568181354
24,Descending occipital gyrus,VisCent,VisCent,0.5837077720023389,0.3483014386740513,0.06531219840042406
25,Putamen,No network found,No network found,0.5931855707283495,0.40345738952725374,0.0033452801249732565
26,Mid-anterior Cingulate cortex,SalVentAttnA,SalVentAttnA,0.772303700700098,0.05080428803067855,0.1659924892724604
27,Superior parietal lobule posterior,DorsAttnB,DorsAttnA,0.5043998362415332,0.3680702636995562,0.12285828269239095
28,Paracentral lobule,SomMotA,SomMotA,0.5512491188435246,0.20663070612110876,0.2400349479941379
29,Inferior occipital gyrus,VisCent,VisCent,0.7043430949025989,0.17384248188857307,0.11353843100071065
30,Superior rostral gyrus,DefaultB,DefaultA,0.7114906786836716,0.12304410069145813,0.16512688553514154
31,Calcarine sulcus anterior,VisCent,VisPeri,0.6476085370553737,0.2696874404617153,0.08271823938027195
32,Intraparietal sulcus,ContA,ContA,0.5693918564795319,0.3001043955773281,0.1178261829995428
33,Superior parietal lobule anterior,DorsAttnB,DorsAttnB,0.5412361847054944,0.2873620626959838,0.1585224337320808
34,Precentral gyrus medial,SomMotA,SomMotA,0.6957010600766079,0.1079851343716616,0.19573616725277992
35,Lingual gyrus anterior,VisCent,VisPeri,0.7269870145572547,0.13997377205268982,0.13304365215674036
36,Angular gyrus,DefaultB,ContB,0.6298989525514879,0.24894345249879726,0.07561505808454662
37,Supramarginal gyrus,SalVentAttnA,SalVentAttnA,0.669210546049001,0.2181850578461736,0.09391561582270028
38,Intraparietal sulcus LH,DorsAttnB,ContA,0.6485994210271274,0.2448249890315309,0.101234863789752
39,Dorsomedial Prefrontal cortex antero-caudal,DefaultB,DefaultB,0.6610478527992755,0.09757335271662217,0.1836229867114952
40,Precentral gyrus superior,DorsAttnB,DorsAttnB,0.6771399895005467,0.1874167524450676,0.12953345367651362
41,Postcentral gyrus inferior,SomMotA,SomMotB,0.60867859046762,0.301389160415576,0.08254510948799551
42,Lateral occipital cortex,VisCent,DorsAttnA,0.6754441048376052,0.2577960757168984,0.06270514545567811
43,Callosomarginal sulcus,SalVentAttnA,SalVentAttnA,0.7124384267631213,0.10205007428020622,0.1854957713081448
44,Paracentral lobule superior,SomMotA,SomMotA,0.4104475102908392,0.10874301936189863,0.1673912499125893
45,Heschl’s gyrus,SomMotA,SomMotB,0.7821268842181827,0.11226989431394127,0.10558238159211876
46,Occipital pole,VisCent,VisCent,0.535773659879796,0.402950397336576,0.053282698745008114
47,Thalamus,No network found,No network found,0.6185663653774784,0.3802299725157343,0.0012022218078445981
48,Intraparietal sulcus RH,ContA,ContA,0.5997709338038602,0.2719286447504117,0.11730140056510725
49,Inferior frontal sulcus,ContA,ContA,0.6967749806267944,0.18119970714737735,0.1086852823111662
50,Postcentral gyrus LH,SomMotA,DorsAttnB,0.5750142348504108,0.2741632333019057,0.14461441099894165
51,Middle frontal gyrus,ContA,ContB,0.634080785438416,0.11730976341005407,0.12436870866495868
52,Inferior frontal gyrus,ContA,ContA,0.6554008371438979,0.1519631086037174,0.11704914598013065
53,Parieto occipital sulcus anterior,DefaultB,DefaultC,0.7549459134697601,0.15189698701570148,0.09315694276773878
54,Precuneus superior,DorsAttnB,ContC,0.6754451295526557,0.1362442468431387,0.18822913213650197
55,Lingual gyrus,VisCent,VisCent,0.7438535551663615,0.19313040533244816,0.0630042565665998
56,Superior occipital sulcus,DorsAttnB,DorsAttnA,0.5995764632204793,0.3054865039224081,0.09394579232828078
57,Superior parietal lobule,DorsAttnB,DorsAttnA,0.4876095585510654,0.08631642938290042,0.18640891605588056
58,Middle frontal gyrus anterior,SalVentAttnA,SalVentAttnB,0.6729320874829101,0.2356110290571989,0.07402456178272199
59,Angular gyrus,DefaultB,DefaultA,0.6902203060500681,0.19484253086506814,0.09193024887009817
60,Cuneus,VisCent,VisPeri,0.627179410741292,0.26978333738363663,0.10300491290217033
61,Middle temporal gyrus,DefaultB,DefaultB,0.7265271565310462,0.14959540511458844,0.10732863824355793
62,Superior frontal gyrus,DefaultB,DefaultB,0.6511819207551668,0.062242996446032935,0.2240668937880465
63,Central sulcus,SomMotA,SomMotB,0.578501636243708,0.29167417270537405,0.1092435133440123
64,Caudate,No network found,No network found,0.7032945994194562,0.2603862774108158,0.03633176677267511
