Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF
1,Retrocalcarine cortex RH,VisCent,VisCent,0.4481405353262207,0.5364755823378832,0.01539730102231418
2,Superior longitudinal fasciculus II mid-posterior RH,No network found,No network found,0.0173264119360224,0.982661041962447,2.3660546855248283e-05
3,Arcuate fasciculus mid-anterior RH,DorsAttnB,ContA,0.5029148769880778,0.4737174507005034,0.023376140038611645
4,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),ContA,SalVentAttnB,0.4009893904632785,0.023640115857285024,0.12546579076680622
5,Precentral sulcus mid-inferior RH,DorsAttnB,ContA,0.6688182352746393,0.19981722365757829,0.12060938556766054
6,Putamen inferior RH,No network found,No network found,0.5818382355885071,0.41798801579896094,0.000190175656156686
7,Paracingulate gyrus posterior,SalVentAttnA,SalVentAttnB,0.6545767537582262,0.04626017243248347,0.2991516224145265
8,Inferior temporal sulcus anterior RH,LimbicA,DefaultB,0.6385905721642234,0.32338471305961697,0.036040843299271916
9,Parahippocampal gyrus anterior,No network found,No network found,0.5426975350884817,0.07254178442050484,0.3385544729126197
10,Calcarine cortex mid-posterior RH,VisCent,VisPeri,0.5649611609861038,0.3543950768614771,0.08064830328025674
11,Middle frontal gyrus superior RH,DefaultB,ContB,0.6649299253541366,0.17643904890440076,0.1358541084989662
12,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),DorsAttnB,DorsAttnA,0.4943645091976285,0.10672154558561968,0.1933567796015808
13,Superior parietal lobule anterior LH,DorsAttnB,DorsAttnA,0.4591466150321033,0.4077858104161426,0.11923399397626988
14,Precentral gyrus middle,SomMotA,SomMotA,0.5255961415012198,0.36053426537957867,0.1110143523136214
15,Postcentral sulcus superior RH,SomMotA,DorsAttnB,0.4736041324916522,0.4043644152864084,0.11918873013158547
16,Subcentral gyrus RH,SomMotA,SomMotB,0.6907903510794299,0.08076994144373065,0.1631037018803819
17,Frontal pole lateral RH,ContA,ContB,0.6709318601336113,0.1546468943362435,0.1065380705931357
18,Postcentral sulcus middle LH,DorsAttnB,DorsAttnB,0.6030951870692102,0.2569388006791209,0.13797436246072622
19,Inferior longitudinal fasciculus posterior RH,No network found,No network found,0.10763783813518436,0.8911201243822445,0.0012442451613816148
20,Parieto-occipital sulcus middle,VisCent,DefaultC,0.590895358366312,0.3581565531048596,0.05095889834587102
21,Lateral fissure posterior limb LH,SalVentAttnA,SalVentAttnA,0.5424809362616306,0.3882358397229742,0.06927399528608279
22,Superior corona radiata RH,No network found,No network found,0.06461950833226199,0.9348609243017962,0.0005200372861881877
23,Fusiform gyrus mid-posterior RH,VisCent,VisCent,0.7532621852583299,0.12728160952043852,0.1192901869253484
24,Cingulate sulcus mid-posterior LH,SalVentAttnA,SalVentAttnA,0.4351510093919641,0.5509021854779058,0.01395451887968868
25,Intraparietal sulcus posterior RH,DorsAttnB,DorsAttnA,0.4981051741210552,0.3669946139267298,0.13287108390366822
26,Anterior insula antero-inferior RH,SalVentAttnA,SalVentAttnB,0.5454582021907585,0.4072623941945013,0.0472888945414121
27,External capsule anterior LH,ContA,SalVentAttnB,0.3820529458668842,0.6119520637651574,0.0059952699566526435
28,Corpus callosum splenium superior,No network found,DefaultA,0.04962975778379833,0.9500345117475868,0.00034995139294358456
29,Internal capsule genu posterior,No network found,No network found,0.22400761494286636,0.7759775084850467,9.082320166544762e-06
30,Superior parietal lobule posterior RH,DorsAttnB,DorsAttnA,0.4924622252004974,0.3668617094900198,0.13177404148516106
31,Lateral occipital cortex anterior RH,VisCent,VisCent,0.76227244694169,0.15658420569354675,0.0780082276794017
32,Middle frontal gyrus mid-posterior inferior RH,ContA,ContB,0.5998475459102179,0.2939235324721183,0.08050762848043991
33,Parieto-occipital sulcus middle LH,VisCent,VisPeri,0.4381252121410005,0.5112652664246538,0.050603110108074584
34,Frontomarginal gyrus LH,DefaultB,DefaultA,0.5774368464121178,0.23081350109702226,0.08034837311445746
35,Corpus callosum splenium,No network found,No network found,0.3400195824274222,0.290326614992725,0.3696562232234407
36,Cingulate cortex mid-anterior LH,SalVentAttnA,SalVentAttnB,0.6696165470168339,0.29450438023739123,0.03588317704617546
37,Middle frontal gyrus posterior inferior RH,ContA,ContB,0.5326579596226,0.4205440924016184,0.04567783195911125
38,Thalamus LH,No network found,No network found,0.6046493447222121,0.3952585454104013,0.00010016486216410744
39,Fusiform gyrus anterior RH,VisCent,VisCent,0.8173257741246593,0.07536063622552187,0.1073220618521058
