,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,yeo_networks7,yeo_networks17,component,cut_coords
0,Occipital Fusiform Gyrus,R Pole_occipital,Background,Background,GM Visual cortex V3V R,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,0,"[24.069666264284763, -91.05320709082076, -8.00583431687906]"
1,Background,Background,Background,Superior corona radiata L,WM Superior longitudinal fascicle R,Background,Background,Background,1,"[26.995341930150232, -29.93082879127428, 32.01969258302108]"
2,"Inferior Frontal Gyrus, pars opercularis",R S_front_inf,Background,Fornix (cres) / Stria terminalis (can not be resolved with current resolution) L,GM Broca's area BA44 R,right_INFERIOR_FRONTAL_SULCUS,DorsAttnB,ContA,2,"[37.818880669304065, 11.991234563406579, 24.6631516108703]"
3,Frontal Pole,R G_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_anterior,ContA,SalVentAttnB,3,"[36.98821426356383, 56.68117968839502, 23.12163755273545]"
4,"Inferior Frontal Gyrus, pars opercularis",R S_precentral-inf-part,Background,Background,GM Broca's area BA44 R,right_INFERIOR_FRONTAL_SULCUS,DorsAttnB,ContA,4,"[50.932353998929784, 12.944988774387014, 23.65785708361625]"
5,Background,R G_Ins_lg_and_S_cent_ins,Background,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) L,WM Uncinate fascicle R,PUTAMEN_posterior,Background,Background,5,"[30.256339277592346, -6.982397402987701, -0.3607823944496147]"
6,Paracingulate Gyrus,R G_and_S_cingul-Mid-Ant,Background,Background,GM Premotor cortex BA6 R,PRE_SUPPLEMENTARY_MOTOR_CORTEX_anterior,SalVentAttnA,SalVentAttnB,6,"[1.3489210669054899, 13.137800425330937, 49.06228165450631]"
7,"Middle Temporal Gyrus, anterior division",R S_temporal_inf,Background,Background,Background,right_MIDDLE_TEMPORAL_GYRUS_anterior,LimbicA,DefaultB,7,"[51.8355937868038, -4.852932290271696, -32.05850580419197]"
8,"Parahippocampal Gyrus, anterior division",R S_orbital_med-olfact,Right I-IV,Superior cerebellar peduncle L,GM Amygdala_superficial group L,AMYGDALA,Background,Background,8,"[12.95766989291441, -3.8571588502568375, -17.52094610569557]"
9,Intracalcarine Cortex,R S_calcarine,Background,Background,GM Visual cortex V1 BA17 R,MEDIAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,9,"[14.095551748413072, -79.72851983661246, 6.253420899420618]"
10,Superior Frontal Gyrus,R S_front_sup,Background,Background,Background,right_SUPERIOR_FRONTAL_SULCUS,DefaultB,ContB,10,"[26.94191025493828, 27.314868680982443, 51.344507226100234]"
11,"Lateral Occipital Cortex, superior division",L G_parietal_sup,Background,Background,GM Superior parietal lobule 7P L,left_INTRAPARIETAL_SULCUS,DorsAttnB,DorsAttnA,11,"[-27.438052999744926, -74.219974531849, 56.42297968456336]"
12,Superior Parietal Lobule,L G_parietal_sup,Background,Background,GM Superior parietal lobule 7A L,DORSAL_VISUAL_STREAM_superior,DorsAttnB,DorsAttnA,12,"[-26.17828554365498, -60.125165227208015, 60.42836350354884]"
13,Precentral Gyrus,R G_precentral,Background,Background,GM Primary motor cortex BA4a R,SOMATOMOTOR_NETWORK_lateral,SomMotA,SomMotA,13,"[43.380459878457145, -10.896515473890304, 50.444509256897476]"
14,Superior Parietal Lobule,R S_postcentral,Background,Background,GM Superior parietal lobule 5L R,POSTCENTRAL_SULCUS_dorsal,SomMotA,DorsAttnB,14,"[20.436399818350026, -45.300004340089984, 65.10765467949022]"
15,Central Opercular Cortex,R G_and_S_subcentral,Background,Background,GM Secondary somatosensory cortex / Parietal operculum OP4 R,SUPERIOR_TEMPORAL_GYRUS_middle,SomMotA,SomMotB,15,"[64.69300158549302, -6.039095886204166, 8.753371330551005]"
16,Frontal Pole,R G_and_S_frontomargin,Background,Background,Background,left_FRONTAL_POLE_lateral,ContA,ContB,16,"[29.546482696949624, 61.48108131849341, -2.306645929612614]"
17,Superior Parietal Lobule,L S_postcentral,Background,Background,GM Primary somatosensory cortex BA2 L,right_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,17,"[-37.755015894287084, -37.308266276516676, 51.53061952872514]"
18,"Lateral Occipital Cortex, inferior division",R S_occipital_ant,Background,Posterior corona radiata L,WM Optic radiation R,LATERAL_VISUAL_NETWORK_posterior,Background,Background,18,"[35.214494251014, -66.98449758622425, -1.2395617567822796]"
19,Precuneous Cortex,L S_parieto_occipital,Background,Background,WM Optic radiation L,PARIETO_OCCIPITAL_SULCUS,VisCent,DefaultC,19,"[-19.017414369888982, -63.68357728929679, 25.400486553787687]"
20,Parietal Operculum Cortex,L Lat_Fis-post,Background,Superior longitudinal fasciculus R,GM Inferior parietal lobule PFcm L,SUPRAMARGINAL_GYRUS,SalVentAttnA,SalVentAttnA,20,"[-48.945415226420415, -35.63131568071833, 26.914577031076988]"
21,Postcentral Gyrus,R S_central,Background,Background,GM Primary somatosensory cortex BA3a R,left_POSTCENTRAL_SULCUS,Background,Background,21,"[21.552494561979145, -31.498324464089237, 49.88395946066103]"
22,Occipital Fusiform Gyrus,R G_oc-temp_lat-fusifor,Right Crus I,Background,GM Visual cortex V4 R,LATERAL_VISUAL_NETWORK_ventroposterior,VisCent,VisCent,22,"[32.31670499479813, -74.0111532058221, -17.30872934789194]"
23,"Cingulate Gyrus, anterior division",L G_and_S_cingul-Mid-Ant,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,CINGULATE_SULCUS_posterior,SalVentAttnA,SalVentAttnA,23,"[-9.387766985583553, 3.959244803214716, 36.87457206710015]"
24,Superior Parietal Lobule,R S_intrapariet_and_P_trans,Background,Background,GM Superior parietal lobule 7A R,DORSAL_VISUAL_STREAM_superior,DorsAttnB,DorsAttnA,24,"[26.200824465819778, -59.71582934522017, 55.11635792248563]"
25,Frontal Orbital Cortex,R S_circular_insula_ant,Background,Background,Background,ANTERIOR_INSULA_anteroodorsal,SalVentAttnA,SalVentAttnB,25,"[36.17570526051796, 31.34080810261409, -3.7301160868891543]"
26,Frontal Orbital Cortex,L S_circular_insula_ant,Background,External capsule R,WM Inferior occipito-frontal fascicle L,PERI_INSULAR_SULCUS,ContA,SalVentAttnB,26,"[-25.48523027316304, 23.025364189532098, -6.100283540763556]"
27,Background,R S_pericallosal,Background,Body of corpus callosum,WM Cingulum R,PRECUNEUS_ventral,Background,DefaultA,27,"[16.15521072819024, -45.40317229037018, 25.6084702132228]"
28,Background,Background,Background,Anterior limb of internal capsule L,WM Corticospinal tract R,THALAMUS_dorsal,Background,Background,28,"[19.494594213614775, -11.287477391649986, 14.503999303063281]"
29,"Lateral Occipital Cortex, superior division",R S_intrapariet_and_P_trans,Background,Background,GM Superior parietal lobule 7P R,right_DORSAL_VISUAL_STREAM_ventral,DorsAttnB,DorsAttnA,29,"[21.72662116373928, -69.84139351381386, 51.31571258177726]"
30,"Lateral Occipital Cortex, inferior division",R S_occipital_ant,Background,Background,GM Visual cortex V5 R,FUSIFORM_GYRUS_dorsolateral,VisCent,VisCent,30,"[55.00231097122918, -67.09532720088144, 2.2714977929998668]"
31,Middle Frontal Gyrus,R G_front_middle,Background,Background,GM Broca's area BA45 R,right_MIDDLE_FRONTAL_GYRUS_posterior,ContA,ContB,31,"[46.46614895380009, 22.258591911900083, 36.54054055927898]"
32,Cuneal Cortex,L S_parieto_occipital,Background,Background,WM Optic radiation L,MEDIODORSAL_VISUAL_NETWORK_anterior,VisCent,VisPeri,32,"[-16.161786978082247, -75.79054885484601, 22.71254445560342]"
33,Frontal Pole,L G_and_S_transv_frontopol,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterororstral,DefaultB,DefaultA,33,"[-20.214761175904613, 67.06703998604081, 10.316394102351495]"
34,"Cingulate Gyrus, posterior division",L G_cingul-Post-ventral,Background,Body of corpus callosum,WM Callosal body,PARIETO_OCCIPITAL_SULCUS_ventral,Background,Background,34,"[-0.038935327742308345, -37.0596698675225, 6.430306908432314]"
35,Paracingulate Gyrus,L G_and_S_cingul-Mid-Ant,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,ANTERIOR_CINGULATE_CORTEX_dorsal,SalVentAttnA,SalVentAttnB,35,"[-9.384001241205581, 26.78587107671666, 27.912011555900833]"
36,Middle Frontal Gyrus,R S_precentral-inf-part,Background,Background,GM Broca's area BA44 R,right_MIDDLE_FRONTAL_GYRUS_posterior,ContA,ContB,36,"[40.70183829857487, 7.630944716776298, 42.42428788063637]"
37,Background,Background,Background,Posterior limb of internal capsule R,WM Corticospinal tract L,THALAMUS_dorsal,Background,Background,37,"[-10.187678916580282, -11.399263338254173, 7.256430444478369]"
38,Temporal Occipital Fusiform Cortex,R G_oc-temp_lat-fusifor,Right V,Background,Background,COLLATERAL_SULCUS,VisCent,VisCent,38,"[25.915420639389183, -40.7714184608369, -19.51477182955155]"
39,Precentral Gyrus,L S_precentral-sup-part,Background,Background,WM Corticospinal tract L,left_MIDDLE_FRONTAL_GYRUS_posterocaudal,DorsAttnB,DorsAttnB,39,"[-34.25387243990329, -6.6378672034683746, 45.5975319092485]"
40,Central Opercular Cortex,L G_front_inf-Opercular,Background,Background,GM Primary auditory cortex TE1.2 L,POSTERIOR_INSULA_dorsal,SalVentAttnA,SomMotB,40,"[-54.0512197875488, -1.1081991439708077, 6.552226132121191]"
