,dimension,component,identified,overlap_against,label
0,128,1,62,64,Superior frontal gyrus
1,128,1,52,64,Inferior frontal gyrus
2,128,1,17,64,Superior frontal gyrus medial
3,128,1,40,64,Precentral gyrus superior
4,128,1,58,64,Middle frontal gyrus anterior
5,128,1,101,128,"Superior frontal sulcus anterior, LH"
6,128,1,40,128,Paracingulate gyrus middle
7,128,1,76,128,"Precentral sulcus inferior, LH"
8,128,1,123,128,Inferior frontal sulcus LH
9,128,1,36,128,Superior frontal gyrus posterior
10,128,1,68,256,Superior frontal gyrus posterior LH
11,128,1,57,256,Inferior frontal gyrus LH
12,128,1,45,256,Superior frontal sulcus LH
13,128,1,221,256,Precentral sulcus superior LH
14,128,1,1,256,Middle frontal gyrus anterior LH
15,128,1,449,512,Middle frontal gyrus mid-posterior lateral LH
16,128,1,124,512,Superior frontal sulcus middle LH
17,128,1,162,512,Superior frontal sulcus posterior LH
18,128,1,221,512,Middle frontal gyrus postero-inferior LH
19,128,1,251,512,Middle frontal gyrus mid-posterior LH
20,128,1,48,1024,Superior frontal sulcus mid-posterior LH
21,128,1,63,1024,Superior frontal sulcus middle LH
22,128,1,963,1024,Precentral sulcus mid-superior LH
23,128,1,734,1024,Middle frontal gyrus mid-posterior LH
24,128,1,929,1024,Middle frontal gyrus lateral LH
25,128,2,51,64,Middle frontal gyrus
26,128,2,52,64,Inferior frontal gyrus
27,128,2,23,64,Anterior Cingulate Cortex
28,128,2,1,64,Superior frontal sulcus
29,128,2,26,64,Cingulate gyrus mid-anterior
30,128,2,93,128,Cerebrospinal fluid (between middle frontal gyrus and skull)
31,128,2,14,128,Lateral frontal pole
32,128,2,9,128,Superior frontal sulcus
33,128,2,81,128,Intraparietal sulcus anterior RH
34,128,2,106,128,Middle frontal gyrus RH
35,128,2,1,256,Middle frontal gyrus anterior LH
36,128,2,214,256,Middle frontal gyrus anterior
37,128,2,54,256,Superior frontal sulcus anterior RH
38,128,2,67,256,Middle frontal gyrus middle RH
39,128,2,98,256,Forceps minor RH
40,128,2,310,512,Middle frontal gyrus middle
41,128,2,475,512,Middle frontal sulcus mid-anterior LH
42,128,2,4,512,Middle frontal gyrus middle RH
43,128,2,115,512,Middle frontal gyrus anterior RH
44,128,2,48,512,Middle frontal gyrus mid-anterior LH
45,128,2,879,1024,Middle frontal sulcus middle RH
46,128,2,90,1024,Middle frontal gyrus middle LH
47,128,2,254,1024,Middle frontal sulcus anterior RH
48,128,2,451,1024,Middle frontal gyrus middle inferior RH
49,128,2,788,1024,Middle frontal sulcus middle LH
50,128,3,56,64,Superior occipital sulcus
51,128,3,13,64,Superior occipital gyrus
52,128,3,20,64,Parieto-occipital sulcus middle
53,128,3,57,64,Superior parietal lobule
54,128,3,46,64,Occipital pole
55,128,3,13,128,Lateral occipital cortex superior
56,128,3,73,128,Superior occipital sulcus
57,128,3,78,128,Cuneus superior
58,128,3,103,128,Occipital pole superior
59,128,3,75,128,Cuneus
