,dimension,component,identified,overlap_against,label
0,512,1,32,64,Intraparietal sulcus
1,512,1,59,64,Angular gyrus
2,512,1,57,64,Superior parietal lobule
3,512,1,27,64,Superior parietal lobule posterior
4,512,1,5,64,Dorsal Parieto-occipital sulcus
5,512,1,7,128,"Intraparietal sulcus posterior, LH"
6,512,1,24,128,"Angular gyrus, posterior"
7,512,1,66,128,Cerebrospinal fluid (between Parieto-occipital sulcus and skull)
8,512,1,17,128,Parieto-occipital sulcus postero-superior
9,512,1,118,128,Parieto-occipital sulcus antero-superior
10,512,1,106,256,"Intraparietal sulcus posterior, LH"
11,512,1,120,256,Lateral occipital cortex superior
12,512,1,124,256,"Intraparietal sulcus posterior, RH"
13,512,1,183,256,Intraparietal sulcus LH
14,512,1,231,256,Posterior corona radiata LH
15,512,1,75,512,Superior occipital sulcus superior LH
16,512,1,172,512,Superior occipital gyrus LH
17,512,1,7,512,Superior occipital gyrus superior LH
18,512,1,416,512,Angular gyrus postero-superior LH
19,512,1,463,512,Intraparietal sulcus posterior LH
20,512,1,923,1024,Superior occipital sulcus superior LH
21,512,1,199,1024,Dorsal visual stream posterior LH
22,512,1,995,1024,Superior occipital sulcus LH
23,512,1,686,1024,Intraparietal sulcus posterior LH
24,512,1,368,1024,Superior occipital gyrus superior LH
25,512,2,56,64,Superior occipital sulcus
26,512,2,13,64,Superior occipital gyrus
27,512,2,20,64,Central Parieto-occipital sulcus
28,512,2,42,64,Lateral occipital cortex
29,512,2,46,64,Occipital pole
30,512,2,13,128,"Lateral occipital cortex, superior"
31,512,2,73,128,Superior occipital sulcus
32,512,2,88,128,Lunate sulcus
33,512,2,103,128,"Occipital pole, superior"
34,512,2,75,128,Cuneus
35,512,2,8,256,"Lateral occipital cortex, LH"
36,512,2,84,256,"Superior occipital sulcus, inferior"
37,512,2,234,256,Superior occipital sulcus LH
38,512,2,249,256,Forceps major RH
39,512,2,122,256,"Occipital pole, superior"
40,512,2,347,512,Superior occipital gyrus inferior RH
41,512,2,172,512,Superior occipital gyrus LH
42,512,2,62,512,Cuneus middle posterior RH
43,512,2,431,512,Superior occipital gyrus RH
44,512,2,278,512,Middle occipital sulcus LH
45,512,2,360,1024,Lateral occipital sulcus posterior RH
46,512,2,882,1024,Superior occipital gyrus inferior RH
47,512,2,1005,1024,Lunate sulcus superior RH
48,512,2,338,1024,Superior occipital sulcus posterior LH
49,512,2,573,1024,Superior occipital gyrus inferior LH
50,512,3,6,64,Antero-superior insula
51,512,3,61,64,Middle temporal gyrus
52,512,3,26,64,Mid-anterior Cingulate cortex
53,512,3,23,64,Anterior Cingulate Cortex
54,512,3,25,64,Putamen
55,512,3,79,128,Pars triangularis
56,512,3,64,128,"Lateral fissure, anterior"
57,512,3,107,128,Anterior insula
58,512,3,49,128,"Insula center, and lateral fissure"
59,512,3,97,128,Thalamus and globus pallidus
60,512,3,163,256,"Superior temporal gyrus, medial"
61,512,3,217,256,Superior temporal gyrus anterior
62,512,3,148,256,Lateral fissure anterior
63,512,3,74,256,Insula
64,512,3,110,256,Insula anterior
65,512,3,353,512,Planum polare inferior
66,512,3,249,512,Lateral fissure anterior LH
67,512,3,27,512,Anterior vertical ramus of the lateral fissure LH
68,512,3,114,512,Superior temporal gyrus medial anterior
69,512,3,510,512,Posterior insula ventral RH
70,512,3,725,1024,Anterior insula mid-inferior LH
71,512,3,56,1024,Anterior insula inferior LH
72,512,3,710,1024,Posterior orbital gyrus posterior
73,512,3,551,1024,Lateral fissure anterior RH
74,512,3,513,1024,Posterior insula inferior
75,512,4,51,64,Middle frontal gyrus
76,512,4,1,64,Superior frontal sulcus
77,512,4,49,64,Inferior frontal sulcus
78,512,4,54,64,Precuneus superior
79,512,4,52,64,Inferior frontal gyrus
80,512,4,106,128,"Middle frontal gyrus, RH"
81,512,4,9,128,Superior frontal sulcus
82,512,4,93,128,Cerebrospinal fluid (between middle frontal gyrus and skull)
83,512,4,81,128,"Intraparietal sulcus anterior, RH"
84,512,4,104,128,Inferior frontal sulcus posterior RH
85,512,4,54,256,"Superior frontal sulcus anterior, RH"
86,512,4,202,256,Cerebrospinal fluid (between middle frontal gyrus and skull)
87,512,4,2,256,"Middle frontal gyrus anterior, RH"
88,512,4,245,256,Cerebrospinal fluid (between middle frontal gyrus RH and skull)
89,512,4,192,256,Middle frontal gyrus posterior RH
90,512,4,345,512,Cerebrospinal fluid (between middle frontal gyrus and skull RH)
91,512,4,203,512,Middle frontal gyrus mid-posterior RH
92,512,4,441,512,Middle frontal gyrus anterior medial RH
93,512,4,310,512,Middle frontal gyrus middle
94,512,4,49,512,Middle frontal gyrus posterior lateral RH
95,512,4,451,1024,Middle frontal gyrus middle inferior RH
96,512,4,806,1024,Middle frontal gyrus mid-anterior superior RH
97,512,4,895,1024,Middle frontal gyrus lateral RH
98,512,4,628,1024,Cerebrospinal fluid (between middle frontal gyrus RH and skull)
99,512,4,879,1024,Middle frontal sulcus middle RH
100,512,5,46,64,Occipital pole
101,512,5,29,64,Inferior occipital gyrus
102,512,5,55,64,Lingual gyrus
103,512,5,31,64,Calcarine sulcus anterior
104,512,5,11,64,Transverse sinus
105,512,5,72,128,"Calcarine cortex, posterior"
106,512,5,116,128,"Occipital pole, inferior"
107,512,5,39,128,Cerebrospinal fluid (between occipital pole and cerebellum)
108,512,5,12,128,Lingual gyrus posterior
109,512,5,88,128,Lunate sulcus
110,512,5,9,256,"Occipital pole, superior"
111,512,5,78,256,Mid-posterior lingual gyrus
112,512,5,119,256,Calcarine sulcus posterior
