,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,yeo_networks7,yeo_networks17,component,cut_coords
0,Middle Frontal Gyrus,L G_front_middle,Background,Background,GM Broca's area BA44 L,left_MIDDLE_FRONTAL_GYRUS_posterorostral,ContA,ContB,0,"[-46.32170667936677, 24.382480643803007, 37.7501457530317]"
1,Frontal Pole,R S_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_anterior,SalVentAttnA,SalVentAttnB,1,"[32.14197667837544, 44.40857142807002, 25.725843599473777]"
2,"Lateral Occipital Cortex, superior division",L S_oc_sup_and_transversal,Background,Background,GM Visual cortex V2 BA18 R,LATERAL_VISUAL_NETWORK_dorsoposterior,VisCent,VisCent,2,"[-26.416215082243454, -86.83093569718571, 21.142724985237123]"
3,Frontal Pole,R G_and_S_frontomargin,Background,Background,Background,left_FRONTAL_POLE_lateral,ContA,ContB,3,"[41.34579348107991, 55.410075152393944, 1.6272086875707856]"
4,Postcentral Gyrus,R G_postcentral,Background,Background,GM Primary somatosensory cortex BA3b R,SOMATOMOTOR_NETWORK_mediolateral,SomMotA,SomMotA,4,"[27.708249896525274, -36.29787547345509, 66.75564251263808]"
5,"Cingulate Gyrus, posterior division",L S_pericallosal,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,POSTERIOR_CINGULATE_CORTEX,ContA,ContC,5,"[-0.07287783626249222, -30.17742539481138, 28.036821011644903]"
6,"Lateral Occipital Cortex, superior division",L G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga L,left_INTRAPARIETAL_SULCUS,ContA,ContA,6,"[-35.836081954366726, -65.25156095127849, 48.146639016008564]"
7,Supracalcarine Cortex,L S_parieto_occipital,Background,Background,GM Superior parietal lobule 7M R,PARIETO_OCCIPITAL_SULCUS,VisCent,VisPeri,7,"[2.3145026889752955, -68.24347964314624, 21.543254530396283]"
8,Middle Frontal Gyrus,R S_front_sup,Background,Background,Background,right_SUPERIOR_FRONTAL_SULCUS,DefaultB,DefaultA,8,"[25.659266130737052, 30.91624903440578, 43.1945411516175]"
9,Frontal Medial Cortex,L S_suborbital,Background,Background,Background,VENTRAL_MEDIAL_PREFRONTAL_CORTEX_posterior,DefaultB,DefaultA,9,"[-2.084176936766866, 46.50797170344549, -8.911247808957754]"
10,Background,Background,Vermis Crus I,Background,Background,CEREBELLUM_CRUSI,Background,Background,10,"[5.278603387775789, -82.56798065030327, -22.479100888673848]"
11,Lingual Gyrus,R G_oc-temp_med-Lingual,Background,Background,GM Visual cortex V3V L,VENTRAL_VISUAL_NETWORK_medial,VisCent,VisPeri,11,"[10.935475430294744, -75.22706691492529, -6.3744028515323805]"
12,"Lateral Occipital Cortex, inferior division",R G_occipital_middle,Background,Background,GM Inferior parietal lobule PGp R,LATERAL_VISUAL_NETWORK_dorsoposterior,VisCent,DorsAttnA,12,"[40.420593400102405, -81.28333621142588, 15.142915135686096]"
13,Frontal Pole,R G_and_S_transv_frontopol,Background,Background,Background,right_FRONTAL_POLE_lateral,ContA,ContB,13,"[-30.977391968891183, 57.429955463475096, 12.08196809613662]"
14,Postcentral Gyrus,R G_and_S_subcentral,Background,Background,GM Secondary somatosensory cortex / Parietal operculum OP4 R,SOMATOMOTOR_NETWORK_ventrolateral,SomMotA,SomMotB,14,"[60.94187546508499, -2.6729921975220634, 22.52786596777277]"
15,Precuneous Cortex,R G_precuneus,Background,Background,GM Superior parietal lobule 7A L,PRECUNEUS_dorsal,DorsAttnB,DorsAttnB,15,"[-0.23533935501686187, -59.55003347918998, 62.83399815932293]"
16,Cuneal Cortex,R S_parieto_occipital,Background,Background,GM Superior parietal lobule 7M R,MEDIODORSAL_VISUAL_NETWORK_anterior,VisCent,VisPeri,16,"[15.005189976198423, -77.65798573415806, 35.22755211052883]"
17,Postcentral Gyrus,R G_postcentral,Background,Background,GM Primary motor cortex BA4p R,right_SOMATOMOTOR_NETWORK_dorsolateral,SomMotA,SomMotA,17,"[39.61871513277205, -21.923809823984655, 56.659136125976914]"
18,"Cingulate Gyrus, anterior division",R G_and_S_cingul-Mid-Ant,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,ANTERIOR_CINGULATE_CORTEX_dorsal,SalVentAttnA,SalVentAttnB,18,"[0.013773679657617777, 17.006557088957067, 38.05472802188682]"
19,Precentral Gyrus,R G_precentral,Background,Background,GM Primary somatosensory cortex BA1 R,right_SOMATOMOTOR_NETWORK_dorsolateral,SomMotA,SomMotA,19,"[35.509390947154344, -23.815055978850936, 71.1741784935424]"
20,Angular Gyrus,R G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule Pga R,right_INFERIOR_PARIETAL_LOBULE,ContA,ContB,20,"[48.89467787406198, -60.91878094164481, 47.228946561224134]"
21,Background,Background,Left Crus I,Unclassified,Background,left_CEREBELLUM_CRUSII_anterior,Background,Background,21,"[-33.89076745293481, -63.193966602866226, -30.310349120342664]"
22,Central Opercular Cortex,R G_and_S_subcentral,Background,Background,GM Primary auditory cortex TE1.2 R,SUPERIOR_TEMPORAL_GYRUS_middle,SomMotA,SomMotB,22,"[60.41722415256078, -3.824717723782868, 5.215592890324402]"
23,"Lateral Occipital Cortex, superior division",R G_pariet_inf-Angular,Background,Background,GM Inferior parietal lobule PGp R,right_INFERIOR_PARIETAL_LOBULE,DefaultB,DefaultC,23,"[47.61796938809317, -67.84457689803249, 33.44812521575852]"
24,"Lateral Occipital Cortex, inferior division",R S_occipital_ant,Background,Background,GM Visual cortex V5 R,FUSIFORM_GYRUS_dorsolateral,VisCent,DorsAttnA,24,"[49.795768652498964, -67.0334375881103, 2.3685840051736875]"
25,"Middle Temporal Gyrus, posterior division",R S_temporal_sup,Background,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) L,WM Uncinate fascicle R,right_MIDDLE_TEMPORAL_GYRUS_anterior,DefaultB,DefaultB,25,"[57.20418753210444, -18.77457906794251, -10.767090417107042]"
26,Background,Background,Vermis VI,Unclassified,Background,CEREBELLUM_VI_anterior,Background,Background,26,"[3.202584460121912, -60.32975979258775, -26.5255065486083]"
27,Occipital Fusiform Gyrus,L G_oc-temp_lat-fusifor,Vermis VI,Background,Background,CEREBELLUM_VI_dorsal,VisCent,VisCent,27,"[-19.057122254069895, -75.32939699737409, -18.496867023266418]"
28,Angular Gyrus,R S_interm_prim-Jensen,Background,Background,GM Inferior parietal lobule PFm R,right_INFERIOR_PARIETAL_LOBULE,ContA,SalVentAttnB,28,"[59.0215630779426, -45.50136987162092, 31.699601346721778]"
29,Frontal Pole,R G_front_sup,Background,Background,Background,SUPERIOR_FRONTAL_GYRUS_anterodorsal,DefaultB,DefaultB,29,"[-1.1654378953399487, 50.06498645204394, 47.66732296024426]"
30,"Parahippocampal Gyrus, posterior division",L S_oc-temp_med_and_Lingual,Left V,Cingulum (cingulate gyrus) L,GM Hippocampus cornu ammonis L,COLLATERAL_SULCUS,VisCent,DefaultC,30,"[-27.04859401563867, -39.635559084675904, -15.790333569442204]"
31,"Inferior Frontal Gyrus, pars triangularis",L S_orbital_lateral,Background,Background,GM Broca's area BA45 L,left_INFERIOR_FRONTAL_SULCUS,ContA,ContA,31,"[-46.375598276537566, 41.422917150622396, 8.228574368289642]"
32,Precuneous Cortex,L S_subparietal,Background,Posterior corona radiata R,GM Superior parietal lobule 7M L,POSTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,32,"[-4.153089169609132, -53.06645079204365, 35.18135339944759]"
33,"Inferior Temporal Gyrus, temporooccipital part",L G_oc-temp_lat-fusifor,Right Crus I,Background,Background,OCCIPITOTEMPORAL_GYRUS_lateral,DorsAttnB,DorsAttnA,33,"[-48.747800481127015, -58.70397116676699, -19.378875810993684]"
34,Paracingulate Gyrus,L G_and_S_cingul-Ant,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterocaudal,DefaultB,DefaultA,34,"[-0.7469967284851435, 55.83126213743185, 15.22081849243969]"
35,Superior Frontal Gyrus,R S_front_sup,Background,Background,GM Premotor cortex BA6 L,FRONTAL_EYE_FIELD,DorsAttnB,ContA,35,"[26.247530424264838, 4.720771469645342, 58.56579641441624]"
36,"Supramarginal Gyrus, anterior division",L G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PF L,left_INFERIOR_PARIETAL_LOBULE,SalVentAttnA,SalVentAttnA,36,"[-58.70897089310533, -40.049049211408544, 26.802870983035092]"
37,Postcentral Gyrus,R S_central,Background,Background,GM Superior parietal lobule 5L L,SOMATOMOTOR_NETWORK_mediolateral,SomMotA,SomMotA,37,"[20.92937588092127, -29.518124546700207, 66.37355038203654]"
38,Occipital Fusiform Gyrus,R Pole_occipital,Right Crus I,Background,GM Visual cortex V2 BA18 L,NOISE,VisCent,VisCent,38,"[13.529547863609821, -86.75012798716043, -14.51039679648364]"
39,Paracingulate Gyrus,R G_front_sup,Background,Background,GM Premotor cortex BA6 L,DORSOMEDIAL_PREFRONTAL_CORTEX_posterior,ContA,ContB,39,"[0.7031796653362932, 25.78746701156703, 45.95887338340944]"
40,Temporal Occipital Fusiform Cortex,R S_oc-temp_med_and_Lingual,Background,Cingulum (cingulate gyrus) L,GM Visual cortex V4 R,MEDIAL_VISUAL_NETWORK_anteroventral,VisCent,VisPeri,40,"[26.007741891958858, -55.6816554597919, -8.962715374802215]"
41,"Middle Temporal Gyrus, posterior division",L G_temporal_middle,Background,Background,Background,left_MIDDLE_TEMPORAL_GYRUS_posterior,DefaultB,DefaultB,41,"[-60.10892728636272, -28.997710459081873, -7.337739525239641]"
42,Postcentral Gyrus,L G_postcentral,Background,Background,GM Primary motor cortex BA4p L,left_SOMATOMOTOR_NETWORK_dorsolateral,SomMotA,SomMotA,42,"[-40.21167705219437, -24.48152035026031, 57.3288302066442]"
43,Angular Gyrus,L S_interm_prim-Jensen,Background,Background,GM Inferior parietal lobule PFm L,left_INFERIOR_PARIETAL_LOBULE,DefaultB,ContB,43,"[-53.837631147795726, -57.432125227532225, 43.745199273666444]"
44,Intracalcarine Cortex,R S_calcarine,Background,Cingulum (hippocampus) R,GM Visual cortex V1 BA17 R,MEDIAL_VISUAL_NETWORK_anterodorsal,VisCent,VisPeri,44,"[19.361570808358053, -57.07934016634853, 4.620967262318757]"
45,"Lateral Occipital Cortex, superior division",R S_intrapariet_and_P_trans,Background,Background,GM Anterior intra-parietal sulcus hIP3 R,right_INTRAPARIETAL_SULCUS,DorsAttnB,ContA,45,"[32.77725255442709, -60.56769939138728, 46.265061236574496]"
46,Occipital Fusiform Gyrus,R S_collat_transv_post,Background,Background,GM Visual cortex V4 L,VENTRAL_VISUAL_NETWORK_lateral,VisCent,VisCent,46,"[-20.314122328816197, -88.2054487788612, -10.47259183081519]"
47,"Supramarginal Gyrus, anterior division",L S_postcentral,Background,Background,GM Inferior parietal lobule PFt L,right_POSTCENTRAL_SULCUS,DorsAttnB,DorsAttnB,47,"[-51.55757769192808, -29.576286885733353, 40.97932888313052]"
48,Central Opercular Cortex,L S_circular_insula_sup,Background,Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) L,GM Secondary somatosensory cortex / Parietal operculum OP4 L,POSTERIOR_INSULA_dorsal,SalVentAttnA,SalVentAttnA,48,"[-40.4158406771277, 1.4239507978151664, 10.47698949325195]"
49,"Lateral Occipital Cortex, superior division",R G_parietal_sup,Background,Background,GM Superior parietal lobule 7P R,right_DORSAL_VISUAL_STREAM_ventral,DorsAttnB,DorsAttnA,49,"[16.68398181299574, -71.73679194121348, 52.40933704215533]"
50,Superior Frontal Gyrus,L G_front_sup,Background,Background,GM Premotor cortex BA6 L,PRE_SUPPLEMENTARY_MOTOR_CORTEX_anterior,SalVentAttnA,SalVentAttnA,50,"[0.23767805398797748, 6.7940405568147355, 69.61403524814867]"
51,"Cingulate Gyrus, posterior division",L G_cingul-Post-dorsal,Background,Cingulum (cingulate gyrus) R,GM Superior parietal lobule 7M L,PRECUNEUS_ventral,DefaultB,DefaultA,51,"[-0.38835985593065914, -54.8178342397661, 24.715721193582723]"
52,"Inferior Frontal Gyrus, pars opercularis",R S_front_inf,Background,Background,GM Broca's area BA44 R,right_INFERIOR_FRONTAL_SULCUS,ContA,ContA,52,"[47.07067568901698, 35.85100286511019, 16.269127787528433]"
53,Planum Temporale,L Lat_Fis-post,Background,Background,GM Secondary somatosensory cortex / Parietal operculum OP1 L,SUPERIOR_TEMPORAL_GYRUS_posterior,SomMotA,SomMotB,53,"[-52.758853113557464, -27.5448793419759, 13.98199453957227]"
54,Background,Background,Vermis Crus I,Background,Background,CEREBELLUM_VI_posterior,Background,Background,54,"[15.170315158212787, -75.46502456127033, -28.21311279743778]"
55,"Supramarginal Gyrus, posterior division",L S_intrapariet_and_P_trans,Background,Background,GM Anterior intra-parietal sulcus hIP2 L,left_INTRAPARIETAL_SULCUS,ContA,ContA,55,"[-41.161787641231086, -47.35602994066025, 44.779807826443005]"
56,"Parahippocampal Gyrus, posterior division",L G_oc-temp_med-Parahip,Background,Cingulum (hippocampus) L,GM Medial geniculate body R,AMYGDALA,Background,DefaultC,56,"[19.510849443703748, -24.788021151795576, -10.705798818016916]"
57,Superior Frontal Gyrus,L G_front_sup,Background,Background,Background,DORSOMEDIAL_PREFRONTAL_CORTEX_anterocaudal,DefaultB,DefaultB,57,"[-0.7637952134002717, 46.05585767387234, 34.81167726996881]"
58,"Cingulate Gyrus, posterior division",L S_cingul-Marginalis,Background,Background,GM Superior parietal lobule 5M L,INFERIOR_MARGINAL_SULCUS,SomMotA,SomMotA,58,"[0.9984482263476195, -29.114434251550776, 49.70495302864683]"
59,Precentral Gyrus,R G_and_S_paracentral,Background,Background,GM Primary motor cortex BA4a L,SOMATOMOTOR_NETWORK_medial,SomMotA,SomMotA,59,"[-0.015778328002909348, -27.77449432057496, 61.77268645201676]"
60,Precuneous Cortex,R G_cingul-Post-ventral,Background,Cingulum (hippocampus) R,GM Visual cortex V1 BA17 R,PARIETO_OCCIPITAL_SULCUS,DefaultB,DefaultC,60,"[-11.802742739129755, -58.845637734391985, 14.243752985397933]"
61,Postcentral Gyrus,L S_central,Background,Background,GM Primary somatosensory cortex BA3b L,SOMATOMOTOR_NETWORK_ventrolateral,SomMotA,SomMotB,61,"[-51.43383283844865, -11.70000024866853, 34.55239342138967]"
62,"Cingulate Gyrus, posterior division",R S_subparietal,Background,Cingulum (cingulate gyrus) R,GM Superior parietal lobule 5M L,POSTERIOR_CINGULATE_CORTEX,DefaultB,ContC,62,"[1.2058569220500601, -40.59255742830548, 37.64407735714941]"
63,Frontal Operculum Cortex,R G_insular_short,Background,Background,WM Inferior occipito-frontal fascicle R,ANTERIOR_INSULA_ventral,SalVentAttnA,SalVentAttnA,63,"[48.22725387257523, 13.818654452713474, -3.6110372921675804]"
64,"Inferior Temporal Gyrus, temporooccipital part",L S_occipital_ant,Background,Background,GM Visual cortex V5 L,FUSIFORM_GYRUS_ventrolateral,DorsAttnB,DorsAttnA,64,"[-46.863319601706735, -65.95817182078567, -5.817820851432714]"
65,"Lateral Occipital Cortex, superior division",R G_occipital_sup,Background,Background,GM Superior parietal lobule 7P L,right_DORSAL_VISUAL_STREAM_ventral,DorsAttnB,ContC,65,"[11.776088547560846, -80.97502616463134, 50.978577140903525]"
66,Frontal Operculum Cortex,R Lat_Fis-ant-Horizont,Background,Background,GM Broca's area BA44 R,ANTERIOR_INSULA_anteroodorsal,SalVentAttnA,SalVentAttnB,66,"[36.559776707775285, 19.36312707394265, 6.1162330182910125]"
67,Planum Temporale,R G_temp_sup-G_T_transv,Background,Background,GM Primary auditory cortex TE1.1 R,HESCHLS GYRUS,SomMotA,SomMotB,67,"[52.984895926690456, -23.76837700251417, 12.156456965077865]"
68,"Cingulate Gyrus, anterior division",L G_and_S_cingul-Ant,Background,Cingulum (cingulate gyrus) R,WM Cingulum L,PERIGENUAL_ANTERIOR_CINGULATE_CORTEX,DefaultB,DefaultA,68,"[0.7896712730171771, 38.44444953577948, 19.380604294780895]"
69,Postcentral Gyrus,L G_and_S_paracentral,Background,Background,GM Primary motor cortex BA4a R,SUPERIOR_PARIETAL_LOBULE,SomMotA,SomMotA,69,"[-0.41714157244062733, -22.151522155552556, 77.10467262700308]"
70,Background,Background,Background,Posterior limb of internal capsule R,WM Fornix,THALAMUS_dorsal,Background,Background,70,"[8.769388324028398, -15.028442674854261, 9.394569307773054]"
71,Intracalcarine Cortex,L G_oc-temp_med-Lingual,Background,Background,GM Visual cortex V1 BA17 R,POSTERIOR_VISUAL_NETWORK_ventromedial,VisCent,VisPeri,71,"[1.8613206024768232, -88.32759911090864, 2.6594922881256906]"
72,"Lateral Occipital Cortex, superior division",L S_intrapariet_and_P_trans,Background,Background,GM Inferior parietal lobule PGp L,left_DORSAL_VISUAL_STREAM_ventral,DorsAttnB,DorsAttnA,72,"[-28.289518883640113, -74.34144216917935, 32.736743409962884]"
73,Postcentral Gyrus,L G_postcentral,Background,Background,GM Primary somatosensory cortex BA2 L,right_POSTCENTRAL_SULCUS,SomMotA,DorsAttnB,73,"[-46.01015117113932, -33.89036377277182, 54.5767096405026]"
74,Supracalcarine Cortex,R G_cuneus,Background,Background,GM Visual cortex V2 BA18 R,MEDIODORSAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,74,"[1.350229512194943, -85.91068507401931, 18.18979265821912]"
75,Precentral Gyrus,L S_precentral-inf-part,Background,Background,GM Broca's area BA44 L,left_INFERIOR_FRONTAL_SULCUS,DorsAttnB,ContA,75,"[-46.86660793097585, 5.5379266230334565, 34.31150444793083]"
76,Superior Parietal Lobule,L G_parietal_sup,Background,Background,GM Superior parietal lobule 7PC L,DORSAL_VISUAL_STREAM_superior,DorsAttnB,DorsAttnA,76,"[-30.88497576289369, -57.9290332583537, 56.92344479529834]"
77,Cuneal Cortex,L G_occipital_sup,Background,Background,GM Superior parietal lobule 7M L,MEDIODORSAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,77,"[-0.2518736547070404, -83.35234068107984, 33.873095435763304]"
78,"Inferior Frontal Gyrus, pars triangularis",L G_front_inf-Orbital,Background,Background,GM Broca's area BA45 L,left_VENTROLATERAL_PREFRONTAL_CORTEX,DefaultB,DefaultB,78,"[-48.02211917481006, 23.032522826005135, -6.133180958537025]"
79,"Superior Temporal Gyrus, posterior division",L G_temp_sup-Lateral,Background,Background,GM Primary auditory cortex TE1.2 L,left_MIDDLE_TEMPORAL_GYRUS_posterior,DefaultB,TempPar,79,"[-59.16383791430337, -36.36731082011691, 2.16245528842461]"
80,"Supramarginal Gyrus, posterior division",R S_interm_prim-Jensen,Background,Background,GM Inferior parietal lobule PFm R,right_INTRAPARIETAL_SULCUS,ContA,ContB,80,"[49.134947785717486, -46.22189857191775, 50.405678255538845]"
81,Background,Background,Left V,Background,Background,CEREBELLUM_I-V,Background,Background,81,"[0.9906793192878496, -60.00460334696433, -14.426971487434542]"
82,Precentral Gyrus,L S_precentral-sup-part,Background,Background,GM Premotor cortex BA6 L,FRONTAL_EYE_FIELD,DorsAttnB,DorsAttnB,82,"[-29.708249350794432, -8.002156354187363, 54.558500485136165]"
83,Precentral Gyrus,R S_central,Background,Background,GM Primary motor cortex BA4p L,SOMATOMOTOR_NETWORK_lateral,SomMotA,SomMotB,83,"[45.3420088180915, -11.796394255428083, 44.95810454613189]"
84,Intracalcarine Cortex,R G_oc-temp_med-Lingual,Background,Background,GM Visual cortex V1 BA17 L,MEDIAL_VISUAL_NETWORK_posterior,VisCent,VisPeri,84,"[-0.3468777960290339, -74.97074607351946, 7.71087306636332]"
85,"Lateral Occipital Cortex, superior division",R G_parietal_sup,Background,Background,GM Superior parietal lobule 7A R,DORSAL_VISUAL_STREAM_superior,DorsAttnB,DorsAttnA,85,"[28.993828801696466, -63.54936379416621, 64.43148393140979]"
86,Background,Background,Background,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) R,WM Superior occipito-frontal fascicle L,CAUDATE_dorsal,Background,Background,86,"[19.127168894799013, 0.565365935517832, 26.31909148324246]"
87,"Lateral Occipital Cortex, inferior division",L S_oc_middle_and_Lunatus,Background,Background,GM Visual cortex V3V L,POSTERIOR_VISUAL_NETWORK_lateral,VisCent,VisCent,87,"[-29.787871882282616, -92.28734429804288, 4.12216744503057]"
88,Superior Parietal Lobule,R G_parietal_sup,Background,Background,GM Superior parietal lobule 5L R,SUPERIOR_PARIETAL_LOBULE,DorsAttnB,DorsAttnB,88,"[-18.683454271970447, -55.88120916043586, 64.46623566636322]"
89,Frontal Pole,R G_front_sup,Background,Background,Background,SUPERIOR_FRONTAL_GYRUS_anterodorsal,DefaultB,DefaultB,89,"[-16.858790883631855, 53.36420897885088, 33.19292672996937]"
90,Lingual Gyrus,R G_oc-temp_med-Lingual,Right V,Cingulum (hippocampus) R,GM Visual cortex V2 BA18 R,MEDIAL_VISUAL_NETWORK_anteroventral,VisCent,VisPeri,90,"[-10.675331162282674, -61.63727082728445, -4.328186607824222]"
91,Precuneous Cortex,L G_precuneus,Background,Background,GM Superior parietal lobule 5M L,PRECUNEUS_dorsal,DorsAttnB,ContC,91,"[0.9329156993007928, -49.44773358445116, 51.73113427402302]"
92,Frontal Pole,L G_front_middle,Background,Background,Background,left_MIDDLE_FRONTAL_GYRUS_anterior,ContA,SalVentAttnB,92,"[-34.283668950281644, 51.42189048364196, 30.106595399818517]"
93,Background,Background,Background,Anterior limb of internal capsule R,WM Fornix,CAUDATE,Background,Background,93,"[10.208425474803946, 5.401394513459593, 11.280445630524667]"
94,"Cingulate Gyrus, posterior division",L G_cingul-Post-ventral,Left I-IV,Splenium of corpus callosum,WM Fornix,PARIETO_OCCIPITAL_SULCUS_ventral,Background,DefaultC,94,"[0.13266921694200562, -39.59452115455393, 2.37515775723314]"
95,Background,Background,Right Crus II,Background,Background,left_CEREBELLUM_CRUSII_posterior,Background,Background,95,"[28.857125670362606, -81.34455304746149, -37.27874247530944]"
96,Insular Cortex,L S_circular_insula_inf,Background,Posterior limb of internal capsule R,GM Insula Id1 L,THALAMUS_ventral,Background,Background,96,"[-10.37430226245202, -20.027403100720548, 0.09093643531909379]"
97,Background,L S_circular_insula_ant,Background,External capsule R,WM Uncinate fascicle L,PUTAMEN_anterior,Background,Background,97,"[-25.483840623133034, 8.615840075265112, -2.4817062714040503]"
98,Planum Polare,R S_circular_insula_inf,Background,Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) L,GM Insula Id1 L,POSTERIOR_INSULA_ventral,SalVentAttnA,SomMotB,98,"[45.18577950926843, -6.549845206828678, -4.567169436727369]"
99,Subcallosal Cortex,L G_subcallosal,Background,Pontine crossing tract (a part of MCP),WM Callosal body,CAUDATE_ventral,Background,Background,99,"[8.728590538678375, 17.102389671164673, -1.4080977961672545]"
100,Middle Frontal Gyrus,L G_front_middle,Background,Background,Background,left_SUPERIOR_FRONTAL_SULCUS_anterior,DefaultB,DefaultB,100,"[-30.09884278347819, 27.05122656126943, 53.1027148008844]"
