,dimension,component,identified,overlap_against,label
0,1024,1,3,64,Calcarine cortex posterior
1,1024,1,29,64,Inferior occipital gyrus
2,1024,1,55,64,Lingual gyrus
3,1024,1,16,64,Posterior fusiform gyrus
4,1024,1,24,64,Descending occipital gyrus
5,1024,1,116,128,"Occipital pole, inferior"
6,1024,1,88,128,Lunate sulcus
7,1024,1,108,128,Inferior occipital gyrus
8,1024,1,39,128,Cerebrospinal fluid (between occipital pole and cerebellum)
9,1024,1,72,128,"Calcarine cortex, posterior"
10,1024,1,25,256,"Occipital pole, inferior"
11,1024,1,9,256,"Occipital pole, superior"
12,1024,1,89,256,Transverse occipital sulcus
13,1024,1,112,256,Fusiform gyrus posterior
14,1024,1,78,256,Mid-posterior lingual gyrus
15,1024,1,227,512,Collateral sulcus posterior RH
16,1024,1,498,512,Inferior occipital gyrus posterior RH
17,1024,1,232,512,Occipital pole lateral RH
18,1024,1,195,512,Occipital pole
19,1024,1,286,512,Occipital pole inferior
20,1024,1,165,1024,Fusiform gyrus posterior RH
21,1024,1,899,1024,Occipital pole inferior
22,1024,1,342,1024,Occipital pole inferior medial RH
23,1024,1,323,1024,Calcarine cortex posterior RH
24,1024,1,271,1024,Inferior occipital sulcus superior RH
25,1024,2,43,64,Callosomarginal sulcus
26,1024,2,12,64,Paracentral gyrus RH
27,1024,2,33,64,Superior parietal lobule anterior
28,1024,2,14,64,Mid-posterior cingulate gyrus
29,1024,2,15,64,ventricles
30,1024,2,112,128,Postcentral sulcus RH
31,1024,2,105,128,"Cingulate sulcus, posterior"
32,1024,2,63,128,"Posterior cingulate cortex, superior"
33,1024,2,109,128,Central operculum cortex
34,1024,2,127,128,"Lateral ventricles, superior"
35,1024,2,135,256,Superior corona radiata RH
36,1024,2,247,256,"Superior longitudinal fasciculus I posterior, RH"
37,1024,2,71,256,Isthmus of corpus callosum
38,1024,2,5,256,Caudate superior
39,1024,2,254,256,Superior longitudinal fasciculus I LH
40,1024,2,454,512,Superior longitudinal fasciculus III posterior RH
41,1024,2,456,512,Superior longitudinal fasciculus III middle RH
42,1024,2,36,512,Superior longitudinal fasciculus I posterior RH
43,1024,2,28,512,Corpus callosum isthmus anterior
44,1024,2,408,512,Callosal sulcus mid-posterior
45,1024,2,782,1024,Precuneus antero-inferior RH
46,1024,2,853,1024,Superior longitudinal fasciculus III posterior RH
47,1024,2,382,1024,Superior longitudinal fasciculus III middle RH
48,1024,2,740,1024,Corpus callosum isthmus anterior
49,1024,2,807,1024,Corpus callosum posterior body radiation RH
50,1024,3,38,64,Intraparietal sulcus LH
51,1024,3,6,64,Antero-superior insula
52,1024,3,26,64,Mid-anterior Cingulate cortex
53,1024,3,45,64,Heschl’s gyrus
54,1024,3,51,64,Middle frontal gyrus
55,1024,3,53,128,Inferior frontal sulcus RH
56,1024,3,76,128,"Precentral sulcus inferior, LH"
57,1024,3,67,128,"Anterior insula, RH-dominated"
58,1024,3,123,128,"Inferior frontal sulcus, LH"
59,1024,3,107,128,Anterior insula
