,harvard_oxford,destrieux,diedrichsen,jhu,juelich,mist,yeo_networks7,yeo_networks17,component,cut_coords
0,"Lateral Occipital Cortex, superior division",L S_intrapariet_and_P_trans,Background,Background,GM Inferior parietal lobule PGp L,left_DORSAL_VISUAL_STREAM_ventral,DorsAttnB,DorsAttnA,0,"[-28.85318040331829, -70.72342279998709, 34.24846408427612]"
1,"Lateral Occipital Cortex, superior division",R S_oc_sup_and_transversal,Background,Background,WM Optic radiation R,LATERAL_VISUAL_NETWORK_dorsoposterior,VisCent,VisCent,1,"[28.982018335724618, -80.93453235310551, 16.34345353350197]"
2,Insular Cortex,L G_insular_short,Background,Uncinate fasciculus R,WM Inferior occipito-frontal fascicle L,ANTERIOR_INSULA_ventral,SalVentAttnA,SalVentAttnA,2,"[-40.42772911607346, 11.574456248454652, -11.165953090072918]"
3,Middle Frontal Gyrus,R S_front_middle,Background,Background,Background,right_MIDDLE_FRONTAL_GYRUS_posterior,ContA,SalVentAttnB,3,"[37.6744330419705, 34.75232257676487, 38.25948449099701]"
4,Occipital Pole,L Pole_occipital,Background,Background,GM Visual cortex V3V L,POSTERIOR_VISUAL_NETWORK_ventromedial,VisCent,VisCent,4,"[-15.98851175867567, -92.02544313845115, -7.8952132999314415]"
5,Parietal Operculum Cortex,R G_pariet_inf-Supramar,Background,Background,GM Inferior parietal lobule PFcm R,SUPRAMARGINAL_GYRUS,SalVentAttnA,SalVentAttnA,5,"[53.958777596979814, -29.699809085654067, 29.49261675813503]"
6,"Lateral Occipital Cortex, superior division",L S_intrapariet_and_P_trans,Background,Background,GM Superior parietal lobule 7A L,PARIETO_OCCIPITAL_SULCUS_dorsal,DorsAttnB,DorsAttnA,6,"[-18.23263529047935, -64.33981134562703, 48.88847612261516]"
7,Angular Gyrus,L S_temporal_sup,Background,Background,GM Inferior parietal lobule PFm L,left_ANGULAR_GYRUS,SalVentAttnA,TempPar,7,"[-52.32511054134104, -50.860163623219805, 14.139751830632392]"
8,Lingual Gyrus,L S_calcarine,Background,Cingulum (hippocampus) R,GM Visual cortex V2 BA18 L,MEDIAL_VISUAL_NETWORK_anteroventral,VisCent,VisPeri,8,"[-17.200617884460712, -57.70402143987198, 0.5068390099027624]"
9,Frontal Pole,R G_and_S_transv_frontopol,Background,Background,Background,left_FRONTAL_POLE_lateral,ContA,ContB,9,"[27.685891473509145, 61.530030159344875, -0.35814243924778566]"
